Players,Salary
Stephen Curry,45780966
James Harden,44310840
John Wall,44310840
Russell Westbrook,44211146
Kevin Durant,42018900
LeBron James,41180544
Giannis Antetokounmpo,39344970
Damian Lillard,39344900
Kawhi Leonard,39344900
Paul George,39344900
Klay Thompson,37980720
Jimmy Butler,36016200
Tobias Harris,35995950
Khris Middleton,35500000
Anthony Davis,35361360
Rudy Gobert,35344828
Kyrie Irving,35328700
Bradley Beal,33724200
Pascal Siakam,33003936
Ben Simmons,33003936
Jrue Holiday,32413333
Kristaps Porzingis,31650600
Devin Booker,31650600
Karl-Anthony Towns,31650600
Joel Embiid,31579390
Andrew Wiggins,31579390
Nikola Jokic,31579390
Kevin Love,31258256
CJ McCollum,30864198
D'Angelo Russell,30013500
Chris Paul,30000000
Gordon Hayward,29925000
Jamal Murray,29467800
Brandon Ingram,29467800
De'Aaron Fox,28103550
Bam Adebayo,28103500
Donovan Mitchell,28103500
Jayson Tatum,28103500
Al Horford,27000000
Kyle Lowry,26894128
